Mag. Current I/mA ,B/mT  ,Mag. Resis. Current(+) I_R/mA ,R/Ohm ,MR_2   , ,R(H_S)/Ohm
-99.1             ,-2.99 ,                        1.949 , 2052 ,0.02%  , ,      2052
-90.3             ,-2.72 ,                        1.948 , 2053 ,0.07%  , ,          
-80.1             ,-2.42 ,                        1.947 , 2054 ,0.12%  , ,          
-70.0             ,-2.11 ,                        1.942 , 2060 ,0.38%  , ,          
-60.4             ,-1.82 ,                        1.926 , 2077 ,1.21%  , ,          
-54.6             ,-1.65 ,                        1.910 , 2094 ,2.06%  , ,          
-50.5             ,-1.52 ,                        1.897 , 2109 ,2.76%  , ,          
-44.8             ,-1.35 ,                        1.878 , 2130 ,3.80%  , ,          
-40.5             ,-1.22 ,                        1.863 , 2147 ,4.63%  , ,          
-35.7             ,-1.08 ,                        1.846 , 2167 ,5.60%  , ,          
-30.4             ,-0.92 ,                        1.826 , 2191 ,6.75%  , ,          
-22.9             ,-0.69 ,                        1.798 , 2225 ,8.42%  , ,          
-19.9             ,-0.60 ,                        1.787 , 2238 ,9.08%  , ,          
-16.3             ,-0.49 ,                        1.775 , 2254 ,9.82%  , ,          
-10.4             ,-0.31 ,                        1.756 , 2278 ,11.01% , ,          
-5.1              ,-0.15 ,                        1.741 , 2298 ,11.97% , ,          
0.0               ,0.00  ,                        1.727 , 2316 ,12.87% , ,          
3.1               ,0.09  ,                        1.721 , 2324 ,13.27% , ,          
5.3               ,0.16  ,                        1.722 , 2323 ,13.20% , ,          
8.3               ,0.25  ,                        1.742 , 2296 ,11.90% , ,          
10.1              ,0.30  ,                        1.747 , 2290 ,11.58% , ,          
15.5              ,0.47  ,                        1.763 , 2269 ,10.57% , ,          
20.0              ,0.60  ,                        1.777 , 2251 ,9.70%  , ,          
29.7              ,0.90  ,                        1.812 , 2208 ,7.58%  , ,          
35.4              ,1.07  ,                        1.832 , 2183 ,6.40%  , ,          
40.0              ,1.21  ,                        1.849 , 2163 ,5.43%  , ,          
50.1              ,1.51  ,                        1.887 , 2120 ,3.30%  , ,          
60.3              ,1.82  ,                        1.922 , 2081 ,1.42%  , ,          
69.9              ,2.11  ,                        1.940 , 2062 ,0.48%  , ,          
80.0              ,2.41  ,                        1.946 , 2055 ,0.17%  , ,          
89.4              ,2.70  ,                        1.948 , 2053 ,0.07%  , ,          
100.5             ,3.03  ,                        1.949 , 2052 ,0.02%  , ,          
