Mag. Current/mA ,B/mT  ,Output(+) /mV  , , , , , , , , , ,
-100.0          ,-3.02 ,0.236          , , , , , , , , , ,
-90.6           ,-2.73 ,0.235          , , , , , , , , , ,
-79.1           ,-2.39 ,0.234          , , , , , , , , , ,
-69.6           ,-2.10 ,0.229          , , , , , , , , , ,
-60.2           ,-1.82 ,0.212          , , , , , , , , , ,
-53.3           ,-1.61 ,0.193          , , , , , , , , , ,
-49.4           ,-1.49 ,0.180          , , , , , , , , , ,
-44.2           ,-1.33 ,0.163          , , , , , , , , , ,
-37.6           ,-1.13 ,0.138          , , , , , , , , , ,
-30.0           ,-0.90 ,0.109          , , , , , , , , , ,
-20.1           ,-0.61 ,0.0710         , , , , , , , , , ,
-15.5           ,-0.47 ,0.0536         , , , , , , , , , ,
-3.9            ,-0.12 ,0.0155         , , , , , , , , , ,
0.0             ,0.00  ,0.0042         , , , , , , , , , ,
0.9             ,0.03  ,0.0019         , , , , , , , , , ,
1.9             ,0.06  ,0.0008         , , , , , , , , , ,
2.1             ,0.06  ,0.0003         , , , , , , , , , ,
2.8             ,0.08  ,-0.0011        , , , , , , , , , ,
4.0             ,0.12  ,-0.0025        , , , , , , , , , ,
5.7             ,0.17  ,-0.0011        , , , , , , , , , ,
9.5             ,0.29  ,0.0109         , , , , , , , , , ,
14.9            ,0.45  ,0.0311         , , , , , , , , , ,
20.1            ,0.61  ,0.0549         , , , , , , , , , ,
26.4            ,0.80  ,0.0830         , , , , , , , , , ,
29.8            ,0.90  ,0.0964         , , , , , , , , , ,
39.7            ,1.20  ,0.1342         , , , , , , , , , ,
50.5            ,1.52  ,0.1752         , , , , , , , , , ,
59.3            ,1.79  ,0.206          , , , , , , , , , ,
70.2            ,2.12  ,0.227          , , , , , , , , , ,
79.5            ,2.40  ,0.233          , , , , , , , , , ,
90.5            ,2.73  ,0.235          , , , , , , , , , ,
100.6           ,3.03  ,0.236          , , , , , , , , , ,
