Mag. Current/mA ,Output(+) /mV ,B/mT
100.5           ,0.236         ,3.03
89.6            ,0.235         ,2.70
80.0            ,0.234         ,2.41
69.8            ,0.230         ,2.11
59.9            ,0.213         ,1.81
50.2            ,0.184         ,1.51
40.7            ,0.151         ,1.23
29.5            ,0.1089        ,0.89
19.7            ,0.0710        ,0.59
10.0            ,0.0365        ,0.30
0.0             ,0.0040        ,0.00
-0.4            ,0.0025        ,-0.01
-1.3            ,-0.0004       ,-0.04
-2.2            ,-0.0016       ,-0.07
-3.1            ,-0.0016       ,-0.09
-3.4            ,-0.0026       ,-0.10
-3.8            ,-0.0027       ,-0.11
-4.3            ,-0.0027       ,-0.13
-5.2            ,-0.0020       ,-0.16
-6.8            ,0.0042        ,-0.21
-10.5           ,0.0151        ,-0.32
-20.4           ,0.0691        ,-0.62
-29.8           ,0.1041        ,-0.90
-39.9           ,0.1415        ,-1.20
-50.4           ,0.1793        ,-1.52
-60.6           ,0.212         ,-1.83
-70.6           ,0.230         ,-2.13
-80.1           ,0.234         ,-2.42
-90.5           ,0.235         ,-2.73
-101.9          ,0.236         ,-3.07
