I_s/mA,No offset: U_s (+) /V,No offset: U_s (-) /V,Offset: U_s (+) /V,Offset: U_s (-) /V
300,0.0140 ,0.0141 ,0.1209 ,0.1209 
200,0.0128 ,0.0131 ,0.1193 ,0.1194 
100,0.0116 ,0.0119 ,0.1178 ,0.1179 
0,0.0105 ,0.0109 ,0.1162 ,0.1163 
-100,0.0095 ,0.0098 ,0.1146 ,0.1148 
-200,0.0085 ,0.0087 ,0.1131 ,0.1132 
-300,0.0077 ,0.0078 ,0.1116 ,0.1116 
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
r^2,0.995998545,0.999234855,0.999878466,0.999851367
k,1.05714E-05,1.06429E-05,1.55357E-05,0.0000155
b,0.010657143,0.0109,0.116214286,0.1163
delta_k,,,,
delta_b,,,,
,,,,
,,,,
I_s/mA,No offset: U_s (+) /mV,No offset: U_s (-) /mV,Offset: U_s (+) /mV,Offset: U_s (-) /mV
300,14.0 ,14.1 ,120.9 ,120.9 
200,12.8 ,13.1 ,119.3 ,119.4 
100,11.6 ,11.9 ,117.8 ,117.9 
0,10.5 ,10.9 ,116.2 ,116.3 
-100,9.5 ,9.8 ,114.6 ,114.8 
-200,8.5 ,8.7 ,113.1 ,113.2 
-300,7.7 ,7.8 ,111.6 ,111.6 
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
r^2,0.995998545,0.999234855,0.999878466,0.999851367
k,0.010571429,0.010642857,0.015535714,0.0155
b,10.65714286,10.9,116.2142857,116.3
delta_k,0.00029966,0.000131708,7.65986E-05,8.45154E-05
delta_b,0.059931934,0.026341556,0.015319722,0.016903085
